proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance,tp,tn,fp,fn
f9,nsga3,9,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f9,rs,9,1,0.5,0.5714285714285714,0.0,1.0,0.42857142857142855,0.3333333333333333,0.7142857142857143,0.6546536707079771,0.5555555555555556,0.5773502691896257,0.5959389821791157,4.0,6.0,8.0,0.0
f9,spea2,9,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f10,ga,0,2,0.375,0.7692307692307693,0.0,1.0,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.4803844614152614,0.375,0.4803844614152614,0.45607170677957887,3.0,3.0,10.0,0.0
f10,ibea,0,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,nsga2,0,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,nsga3,0,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,rs,0,2,0.375,0.7692307692307693,0.0,1.0,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.4803844614152614,0.375,0.4803844614152614,0.45607170677957887,3.0,3.0,10.0,0.0
f10,spea2,0,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f1,ga,1,2,0.33333333333333337,0.5,0.0,1.0,0.5,0.2,0.75,0.7071067811865476,0.5555555555555556,0.4472135954999579,0.6464466094067263,2.0,8.0,8.0,0.0
f1,ibea,1,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f1,nsga2,1,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f1,nsga3,1,2,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815,2.0,14.0,2.0,0.0
f1,rs,1,2,0.3076923076923077,0.5625,0.0,1.0,0.4375,0.18181818181818182,0.71875,0.6614378277661477,0.5,0.4264014327112209,0.602252435582567,2.0,7.0,9.0,0.0
f1,spea2,1,2,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815,2.0,14.0,2.0,0.0
f2,ga,2,2,0.4615384615384615,0.4666666666666667,0.0,1.0,0.5333333333333333,0.3,0.7666666666666666,0.7302967433402214,0.6111111111111112,0.5477225575051661,0.6700168354462779,3.0,8.0,7.0,0.0
f2,ibea,2,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f2,nsga2,2,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f2,nsga3,2,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f2,rs,2,2,0.28571428571428575,0.6,0.3333333333333333,0.6666666666666666,0.4,0.18181818181818182,0.5333333333333332,0.5163977794943222,0.4444444444444444,0.39477101697586137,0.5146593407146322,2.0,6.0,9.0,1.0
f2,spea2,2,2,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f3,ga,3,2,0.4,0.375,0.0,1.0,0.625,0.25,0.8125,0.7905694150420949,0.6666666666666666,0.5,0.7348349570550448,2.0,10.0,6.0,0.0
f3,ibea,3,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f3,nsga2,3,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f3,nsga3,3,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f3,rs,3,2,0.4,0.375,0.0,1.0,0.625,0.25,0.8125,0.7905694150420949,0.6666666666666666,0.5,0.7348349570550448,2.0,10.0,6.0,0.0
f3,spea2,3,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f4,ga,4,2,0.3076923076923077,0.5625,0.0,1.0,0.4375,0.18181818181818182,0.71875,0.6614378277661477,0.5,0.4264014327112209,0.602252435582567,2.0,7.0,9.0,0.0
f4,ibea,4,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f4,nsga2,4,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f4,nsga3,4,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f4,rs,4,2,0.15384615384615385,0.625,0.5,0.5,0.375,0.09090909090909091,0.4375,0.4330127018922193,0.3888888888888889,0.27914526311954124,0.43403842886641153,1.0,6.0,10.0,1.0
f4,spea2,4,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f5,ga,5,2,0.3076923076923077,0.5625,0.0,1.0,0.4375,0.18181818181818182,0.71875,0.6614378277661477,0.5,0.4264014327112209,0.602252435582567,2.0,7.0,9.0,0.0
f5,ibea,5,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f5,nsga2,5,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f5,nsga3,5,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f5,rs,5,2,0.4,0.375,0.0,1.0,0.625,0.25,0.8125,0.7905694150420949,0.6666666666666666,0.5,0.7348349570550448,2.0,10.0,6.0,0.0
f5,spea2,5,2,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f6,ga,6,2,0.33333333333333337,0.5,0.0,1.0,0.5,0.2,0.75,0.7071067811865476,0.5555555555555556,0.4472135954999579,0.6464466094067263,2.0,8.0,8.0,0.0
f6,ibea,6,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f6,nsga2,6,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f6,nsga3,6,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f6,rs,6,2,0.3076923076923077,0.5625,0.0,1.0,0.4375,0.18181818181818182,0.71875,0.6614378277661477,0.5,0.4264014327112209,0.602252435582567,2.0,7.0,9.0,0.0
f6,spea2,6,2,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f7,ga,7,2,0.2222222222222222,0.875,0.0,1.0,0.125,0.125,0.5625,0.3535533905932738,0.2222222222222222,0.3535533905932738,0.3812815664617709,2.0,2.0,14.0,0.0
f7,ibea,7,2,0.0,0.125,1.0,0.0,0.875,0.0,0.4375,0.0,0.7777777777777778,0.0,0.2873903593130389,0.0,14.0,2.0,2.0
f7,nsga2,7,2,0.0,0.0625,1.0,0.0,0.9375,0.0,0.46875,0.0,0.8333333333333334,0.0,0.29151349695283535,0.0,15.0,1.0,2.0
f7,nsga3,7,2,0.0,0.0625,1.0,0.0,0.9375,0.0,0.46875,0.0,0.8333333333333334,0.0,0.29151349695283535,0.0,15.0,1.0,2.0
f7,rs,7,2,0.25,0.75,0.0,1.0,0.25,0.14285714285714285,0.625,0.5,0.3333333333333333,0.3779644730092272,0.4696699141100894,2.0,4.0,12.0,0.0
f7,spea2,7,2,0.0,0.0625,1.0,0.0,0.9375,0.0,0.46875,0.0,0.8333333333333334,0.0,0.29151349695283535,0.0,15.0,1.0,2.0
f8,ga,8,2,0.22222222222222224,0.375,0.5,0.5,0.625,0.14285714285714285,0.5625,0.5590169943749475,0.6111111111111112,0.3603749850782236,0.5580582617584078,1.0,10.0,6.0,1.0
f8,ibea,8,2,0.0,0.0625,1.0,0.0,0.9375,0.0,0.46875,0.0,0.8333333333333334,0.0,0.29151349695283535,0.0,15.0,1.0,2.0
f8,nsga2,8,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f8,nsga3,8,2,0.0,0.0625,1.0,0.0,0.9375,0.0,0.46875,0.0,0.8333333333333334,0.0,0.29151349695283535,0.0,15.0,1.0,2.0
f8,rs,8,2,0.22222222222222224,0.375,0.5,0.5,0.625,0.14285714285714285,0.5625,0.5590169943749475,0.6111111111111112,0.3603749850782236,0.5580582617584078,1.0,10.0,6.0,1.0
f8,spea2,8,2,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f9,ga,9,2,0.47058823529411764,0.6428571428571429,0.0,1.0,0.35714285714285715,0.3076923076923077,0.6785714285714286,0.5976143046671968,0.5,0.5547001962252291,0.5454313549515052,4.0,5.0,9.0,0.0
f9,ibea,9,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f9,nsga2,9,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f9,nsga3,9,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f9,rs,9,2,0.5714285714285715,0.42857142857142855,0.0,1.0,0.5714285714285714,0.4,0.7857142857142857,0.7559289460184544,0.6666666666666666,0.6324555320336759,0.6969542366343369,4.0,8.0,6.0,0.0
f9,spea2,9,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,14.0,0.0,0.0
f10,ga,0,3,0.3333333333333333,0.5384615384615384,0.3333333333333333,0.6666666666666666,0.46153846153846156,0.2222222222222222,0.5641025641025641,0.5547001962252291,0.5,0.4364357804719847,0.5521987385494108,2.0,6.0,7.0,1.0
f10,ibea,0,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,nsga2,0,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,nsga3,0,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f10,rs,0,3,0.26666666666666666,0.7692307692307693,0.3333333333333333,0.6666666666666666,0.23076923076923078,0.16666666666666666,0.4487179487179486,0.3922322702763681,0.3125,0.3535533905932738,0.407198562989903,2.0,3.0,10.0,1.0
f10,spea2,0,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.875,0.9309493362512627,0.5285954792089683,1.0,13.0,0.0,2.0
f1,ga,1,3,0.3076923076923077,0.5625,0.0,1.0,0.4375,0.18181818181818182,0.71875,0.6614378277661477,0.5,0.4264014327112209,0.602252435582567,2.0,7.0,9.0,0.0
f1,ibea,1,3,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f1,nsga2,1,3,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815,2.0,14.0,2.0,0.0
f1,nsga3,1,3,0.8,0.0625,0.0,1.0,0.9375,0.6666666666666666,0.96875,0.9682458365518543,0.9444444444444444,0.816496580927726,0.9558058261758408,2.0,15.0,1.0,0.0
f1,rs,1,3,0.33333333333333337,0.5,0.0,1.0,0.5,0.2,0.75,0.7071067811865476,0.5555555555555556,0.4472135954999579,0.6464466094067263,2.0,8.0,8.0,0.0
f1,spea2,1,3,0.6666666666666666,0.125,0.0,1.0,0.875,0.5,0.9375,0.9354143466934853,0.8888888888888888,0.7071067811865476,0.9116116523516815,2.0,14.0,2.0,0.0
f2,ga,2,3,0.4615384615384615,0.4666666666666667,0.0,1.0,0.5333333333333333,0.3,0.7666666666666666,0.7302967433402214,0.6111111111111112,0.5477225575051661,0.6700168354462779,3.0,8.0,7.0,0.0
f2,ibea,2,3,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8333333333333334,0.0,0.29289321881345254,0.0,15.0,0.0,3.0
f2,nsga2,2,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f2,nsga3,2,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f2,rs,2,3,0.4615384615384615,0.4666666666666667,0.0,1.0,0.5333333333333333,0.3,0.7666666666666666,0.7302967433402214,0.6111111111111112,0.5477225575051661,0.6700168354462779,3.0,8.0,7.0,0.0
f2,spea2,2,3,0.5,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5773502691896257,0.8888888888888888,0.9393364366277243,0.5285954792089683,1.0,15.0,0.0,2.0
f3,ga,3,3,0.2666666666666667,0.6875,0.0,1.0,0.3125,0.15384615384615385,0.65625,0.5590169943749475,0.3888888888888889,0.3922322702763681,0.5138640879342486,2.0,5.0,11.0,0.0
f3,ibea,3,3,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.8888888888888888,0.0,0.29289321881345254,0.0,16.0,0.0,2.0
f3,nsga2,3,3,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f3,nsga3,3,3,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f3,rs,3,3,0.33333333333333337,0.5,0.0,1.0,0.5,0.2,0.75,0.7071067811865476,0.5555555555555556,0.4472135954999579,0.6464466094067263,2.0,8.0,8.0,0.0
f3,spea2,3,3,0.6666666666666666,0.0,0.5,0.5,1.0,1.0,0.75,0.7071067811865476,0.9444444444444444,0.9701425001453319,0.6464466094067263,1.0,16.0,0.0,1.0
f4,ga,4,3,0.15384615384615385,0.625,0.5,0.5,0.375,0.09090909090909091,0.4375,0.4330127018922193,0.3888888888888889,0.27914526311954124,0.43403842886641153,1.0,6.0,10.0,1.0
